# id	file_path		transparent_color_r	g	b
[TEXTURES]
1	textures\simon_right.png	116	116	116
2	textures\simon_left.png	116	116	116
3	textures\whip_right.png	116	116	116
4	textures\whip_left.png	116	116	116
20	textures\misc.png	116	116	116
30	textures\\enemies.png	116	116	116
100	textures\map\map_2_bank.png	255	255	255
90	textures\brick_2.png	0	0	255
80	textures\bbox.png	255	255	255

# ============================ [SPRITES] ========================
# id	left	top	right	bottom	texture_id
[SPRITES]
# ======================== SIMON ====================
# idle right
1001	190	2	206	32	1
# walk right
1002	165	2	181	32	1
1003	143	0	158	32	1
1004	123	2	138	32	1
# jump right
1005	99	2	115	25	1
# sit right
1006	99	2	115	25	1
# sit attack right
1007	76	120	106	143	1
1008	44	120	74	143	1
1009	11	121	41	143	1
# attack right
1010	65	4	95	34	1
1011	33	4	63	34	1
1012	0	5	30	34	1
# attack up right
1013	76	155	106	186	1
1014	44	155	74	186	1
1015	11	156	41	186	1
# attack down right
1016	76	197	106	228	1
1017	44	197	74	228	1
1018	11	197	41	228	1
# walk up right
1019	97	38	112	70	1
1020	83	38	95	69	1
# walk down right
1021	138	39	154	70	1
1022	125	38	137	69	1
# idle up right
1025	97	38	112	70	1
# idle down right
1026	138	39	154	70	1
#die right
1024	4	84	36	99	1
# hurt right
1027	37	86	53	107	1

# idle left
1101	1	2	17	32	2
# walk left
1102	26	2	42	32	2
1103	49	0	64	32	2
1104	69	2	84	32	2
# jump left
1105	92	2	108	25	2
# sit left
1106	92	2	108	25	2
# sit attack left
1107	101	120	131	143	2
1108	135	120	165	143	2
1109	168	121	198	143	2
# attack left
1110	112	4	142	34	2
1111	146	4	176	34	2
1112	180	5	210	34	2
# attack up left
1113	101	155	131	186	2
1114	135	155	165	186	2
1115	168	155	198	186	2
# attack down left
1116	101	197	131	228	2
1117	135	197	165	228	2
1118	168	197	198	228	2
# walk up left
1119	95	39	110	70	2
1120	112	38	124	69	2
# walk down left
1121	53	39	69	70	2
1122	70	38	82	69	2
# idle up left
1125	138	39	154	70	2
# idle down left
1126	53	39	69	70	2
# die left
1124	171	84	203	99	2
# hurt left
1127	154	86	170	107	2

# ===================== WHIP =================
# LV 0 right
